Year,Month,SEQ major road,SEQ suburban,Mt Isa residential,Townsville peak (industrial),NEPM standard
2010,11,,,0.109,0.098,0.5
2010,12,,,0.13,0.11,0.5
2011,1,,,0.153,0.109,0.5
2011,2,,,0.146,0.116,0.5
2011,3,,,0.127,0.123,0.5
2011,4,,,0.127,0.128,0.5
2011,5,,,0.113,0.167,0.5
2011,6,,,0.109,0.162,0.5
2011,7,,,0.106,0.159,0.5
2011,8,,,0.111,0.157,0.5
2011,9,,,0.111,0.148,0.5
2011,10,,,0.113,0.142,0.5
2011,11,,,0.124,0.158,0.5
2011,12,,,0.133,0.141,0.5
2012,1,,,0.127,0.161,0.5
2012,2,,,0.114,0.155,0.5
2012,3,,,0.106,0.163,0.5
2012,4,,,0.111,0.168,0.5
2012,5,,,0.113,0.135,0.5
2012,6,,,0.113,0.134,0.5
2012,7,,,0.116,0.13,0.5
2012,8,,,0.114,0.129,0.5
2012,9,,,0.124,0.135,0.5
2012,10,,,0.13,0.137,0.5
2012,11,,,0.117,0.132,0.5
2012,12,,,0.101,0.126,0.5
2013,1,,,0.084,0.139,0.5
2013,2,,,0.09,0.142,0.5
2013,3,,,0.094,0.133,0.5
2013,4,,,0.089,0.127,0.5
2013,5,,,0.092,0.123,0.5
2013,6,,,0.097,0.156,0.5
2013,7,,,0.11,0.157,0.5
2013,8,,,0.125,0.233,0.5
2013,9,,,0.134,0.226,0.5
2013,10,,,0.128,0.228,0.5
2013,11,,,0.129,0.234,0.5
2013,12,,,0.154,0.241,0.5
2014,1,,,0.155,0.214,0.5
2014,2,,,0.148,0.268,0.5
2014,3,,,0.153,0.26,0.5
2014,4,,,0.153,0.363,0.5
2014,5,,,0.153,0.375,0.5
2014,6,,,0.13,0.354,0.5
2014,7,,,0.127,0.374,0.5
2014,8,,,0.109,0.298,0.5
2014,9,,,0.115,0.297,0.5
2014,10,,,0.114,0.303,0.5
2014,11,,,0.123,0.295,0.5
2014,12,,,0.113,0.294,0.5
