Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Relative Humidity (%),Rainfall (mm),Barometric Pressure (hPa),PM10 (ug/m^3),PM2.5 (ug/m^3),TSP (ug/m^3)
09/01/2015,16:00,90,4.9,11.3,1.2,29.7,34.1,0.0,964,11.0,3.7,18.6
09/01/2015,17:00,84,5.3,10.2,1.1,29.2,37.6,0.0,964,11.6,0.2,29.5
09/01/2015,18:00,73,5.9,8.7,1.3,27.5,50.2,0.0,965,10.9,0.7,33.5
09/01/2015,19:00,73,6.0,7.7,1.3,25.6,59.6,0.0,965,14.7,2.2,29.1
09/01/2015,20:00,72,5.2,7.9,1.2,24.3,63.6,0.0,966,15.1,2.8,22.4
09/01/2015,21:00,62,5.2,7.9,1.1,23.4,66.1,0.0,966,13.6,2.1,27.4
09/01/2015,22:00,64,4.3,8.3,1.2,22.7,69.1,0.0,967,18.2,5.2,28.1
09/01/2015,23:00,75,3.9,8.5,0.9,22.0,73.3,0.0,967,15.7,2.9,25.0
10/01/2015,00:00,64,3.3,9.6,1.0,21.7,76.1,0.0,966,13.5,1.7,17.9
10/01/2015,01:00,63,2.2,11.8,0.7,21.6,77.9,0.0,966,12.8,-0.1,28.4
10/01/2015,02:00,74,2.7,10.1,0.8,21.6,78.7,0.0,966,16.7,2.6,19.6
10/01/2015,03:00,67,2.7,15.6,1.1,21.4,79.5,0.0,966,13.6,2.3,21.7
10/01/2015,04:00,68,1.5,14.0,0.5,20.7,82.2,0.0,967,14.7,1.8,27.1
10/01/2015,05:00,100,1.2,14.1,0.6,20.4,83.0,0.0,967,18.7,2.1,30.1
10/01/2015,06:00,72,2.4,14.2,0.9,21.3,78.7,0.0,967,14.7,0.6,23.4
10/01/2015,07:00,61,4.3,13.7,1.1,22.8,67.9,0.0,968,14.5,1.3,23.3
10/01/2015,08:00,44,5.3,13.9,1.4,24.5,56.7,0.0,968,19.0,3.3,41.1
10/01/2015,09:00,61,5.2,24.9,1.6,26.1,50.7,0.0,967,20.0,3.2,39.4
10/01/2015,10:00,68,5.6,15.5,1.6,26.9,46.9,0.0,967,13.4,1.9,23.5
10/01/2015,11:00,71,4.8,18.1,1.7,28.1,43.0,0.0,966,14.4,4.1,24.9
10/01/2015,12:00,74,5.1,21.4,1.9,28.8,40.4,0.0,966,11.3,0.5,27.7
10/01/2015,13:00,,,,,,,,,,,
10/01/2015,14:00,,,,,,,,,,,
10/01/2015,15:00,,,,,,,,,,,
10/01/2015,16:00,,,,,,,,,,,
10/01/2015,17:00,72,5.5,11.6,1.4,29.2,40.0,0.0,965,,,
10/01/2015,18:00,74,5.5,9.2,1.4,27.7,46.9,0.0,965,,,
10/01/2015,19:00,74,5.3,7.3,1.1,26.0,56.0,0.0,966,,,
10/01/2015,20:00,74,4.7,7.3,1.1,24.7,63.7,0.0,966,,,24.7
10/01/2015,21:00,77,4.8,8.2,1.1,23.8,68.9,0.0,967,9.9,5.2,16.8
10/01/2015,22:00,78,4.9,7.9,1.0,22.9,72.7,0.0,967,5.4,2.5,16.8
10/01/2015,23:00,75,4.3,8.0,1.0,22.5,73.0,0.0,967,5.2,1.1,14.4
11/01/2015,00:00,75,4.2,9.1,0.9,22.2,75.0,0.0,966,7.0,3.8,14.7
11/01/2015,01:00,67,3.6,9.3,1.0,22.0,76.9,0.0,966,5.9,3.6,15.6
11/01/2015,02:00,64,2.7,9.4,0.7,21.8,77.9,0.0,965,8.8,3.6,20.2
11/01/2015,03:00,75,2.1,10.1,0.6,21.4,79.1,0.0,965,8.9,2.4,20.8
11/01/2015,04:00,76,2.2,9.3,0.5,20.9,81.4,0.0,966,10.5,3.6,19.6
11/01/2015,05:00,80,1.4,19.4,0.5,20.5,83.6,0.0,966,9.6,3.6,30.5
11/01/2015,06:00,71,1.6,28.4,1.0,22.0,78.5,0.0,967,11.1,3.8,28.6
11/01/2015,07:00,63,2.8,19.9,0.9,23.2,70.7,0.0,967,15.8,4.5,32.3
11/01/2015,08:00,77,1.6,36.8,0.9,24.9,60.0,0.0,967,14.7,5.4,28.5
