Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Sulfur Dioxide (ppm)
21/02/2013,18:00,74,1.6,30.7,1.0,0.000
21/02/2013,19:00,84,0.8,36.8,0.6,0.000
21/02/2013,20:00,109,0.7,32.6,0.5,0.000
21/02/2013,21:00,108,0.6,38.3,0.5,0.000
21/02/2013,22:00,140,0.4,60.6,0.3,0.000
21/02/2013,23:00,158,0.5,21.8,0.2,0.001
22/02/2013,00:00,155,1.2,21.1,0.6,
22/02/2013,01:00,160,1.7,8.4,0.6,0.000
22/02/2013,02:00,163,1.9,8.6,0.6,0.000
22/02/2013,03:00,171,0.6,104.9,0.9,0.001
22/02/2013,04:00,177,0.5,56.1,0.3,0.001
22/02/2013,05:00,125,0.8,42.9,0.6,0.000
22/02/2013,06:00,47,0.4,71.0,0.4,0.001
22/02/2013,07:00,35,0.7,47.0,0.5,0.000
22/02/2013,08:00,47,1.8,22.4,0.9,0.000
22/02/2013,09:00,38,2.2,19.4,1.0,0.001
22/02/2013,10:00,39,1.6,49.6,1.1,0.001
22/02/2013,11:00,51,0.9,70.7,0.9,0.001
22/02/2013,12:00,144,0.6,113.6,1.3,0.001
22/02/2013,13:00,161,1.7,54.3,1.5,0.001
22/02/2013,14:00,143,1.2,62.8,1.1,0.001
22/02/2013,15:00,172,1.4,66.4,1.4,0.001
22/02/2013,16:00,156,2.1,37.4,1.3,0.002
22/02/2013,17:00,122,1.4,54.1,1.2,0.000
22/02/2013,18:00,151,2.3,26.5,1.4,0.000
22/02/2013,19:00,130,1.2,33.4,0.8,0.000
22/02/2013,20:00,122,1.0,34.6,0.7,0.000
22/02/2013,21:00,161,0.7,19.4,0.3,0.000
22/02/2013,22:00,144,0.9,15.3,0.4,0.000
22/02/2013,23:00,154,1.2,16.7,0.6,0.000
23/02/2013,00:00,164,1.1,11.7,0.4,
23/02/2013,01:00,161,1.1,9.7,0.3,0.001
23/02/2013,02:00,168,1.5,8.7,0.3,0.000
23/02/2013,03:00,190,0.5,86.0,0.6,0.000
23/02/2013,04:00,12,0.2,121.9,0.3,0.000
23/02/2013,05:00,232,0.3,53.7,0.2,0.000
23/02/2013,06:00,216,0.1,122.9,0.2,0.001
23/02/2013,07:00,2,0.2,61.4,0.1,0.001
23/02/2013,08:00,324,0.4,38.6,0.2,0.000
23/02/2013,09:00,25,1.3,169.6,0.8,0.001
23/02/2013,10:00,41,1.7,37.6,1.0,0.001
23/02/2013,11:00,21,0.6,116.2,1.3,0.000
23/02/2013,12:00,165,0.9,77.0,1.0,0.133
23/02/2013,13:00,199,1.2,67.2,1.2,0.035
23/02/2013,14:00,181,2.1,40.8,1.5,0.075
23/02/2013,15:00,173,2.6,32.3,1.6,0.062
23/02/2013,16:00,173,2.6,38.0,1.6,0.024
23/02/2013,17:00,179,2.7,21.0,1.5,0.168
23/02/2013,18:00,171,3.0,17.5,1.3,0.058
23/02/2013,19:00,167,2.7,12.8,1.1,0.001
23/02/2013,20:00,148,1.3,19.5,0.7,0.000
23/02/2013,21:00,155,0.8,16.0,0.5,0.000
23/02/2013,22:00,172,1.0,11.3,0.4,0.000
23/02/2013,23:00,47,0.9,72.2,1.0,0.001
24/02/2013,00:00,8,2.3,178.6,0.8,
24/02/2013,01:00,18,2.4,19.8,0.9,0.001
24/02/2013,02:00,18,1.8,23.6,0.7,0.001
24/02/2013,03:00,0,1.2,173.5,0.5,0.001
24/02/2013,04:00,349,1.5,17.9,0.7,0.000
24/02/2013,05:00,347,1.2,23.0,0.6,0.001
24/02/2013,06:00,341,1.2,17.9,0.4,0.001
24/02/2013,07:00,338,1.3,18.3,0.7,0.000
24/02/2013,08:00,352,2.2,23.2,1.0,0.000
24/02/2013,09:00,346,1.2,47.2,0.9,0.001
24/02/2013,10:00,262,1.1,32.7,0.6,0.001
24/02/2013,11:00,264,1.3,25.1,0.6,0.001
24/02/2013,12:00,281,1.3,32.7,0.7,0.001
24/02/2013,13:00,257,1.2,40.8,0.7,0.006
24/02/2013,14:00,211,1.7,46.2,1.1,0.319
24/02/2013,15:00,209,2.4,34.6,1.4,0.211
24/02/2013,16:00,181,2.9,27.2,1.4,0.155
24/02/2013,17:00,191,2.9,29.4,1.5,0.231
24/02/2013,18:00,169,0.5,101.2,1.2,0.038
24/02/2013,19:00,6,1.7,171.1,0.7,0.002
24/02/2013,20:00,338,1.0,23.6,0.5,0.001
24/02/2013,21:00,341,1.4,15.5,0.7,0.001
24/02/2013,22:00,22,0.8,45.2,0.7,0.001
24/02/2013,23:00,34,1.7,18.9,0.7,0.001
25/02/2013,00:00,343,1.0,24.4,0.5,
25/02/2013,01:00,343,0.6,40.7,0.5,0.001
25/02/2013,02:00,315,0.4,38.1,0.2,0.001
25/02/2013,03:00,332,0.7,22.0,0.3,0.001
25/02/2013,04:00,334,0.4,39.3,0.3,0.001
25/02/2013,05:00,19,0.7,157.9,0.5,0.000
25/02/2013,06:00,49,0.7,51.4,0.4,0.000
25/02/2013,07:00,56,1.0,27.3,0.5,0.001
25/02/2013,08:00,86,0.5,85.1,0.5,0.011
25/02/2013,09:00,214,0.7,51.6,0.4,0.014
25/02/2013,10:00,241,0.9,45.1,0.6,0.009
25/02/2013,11:00,242,0.3,95.0,0.8,0.004
25/02/2013,12:00,327,1.0,47.2,0.8,0.003
25/02/2013,13:00,4,1.0,174.7,1.0,0.010
25/02/2013,14:00,346,0.6,147.3,0.7,0.008
25/02/2013,15:00,193,0.9,63.8,0.8,0.071
25/02/2013,16:00,238,0.8,50.0,0.5,0.069
25/02/2013,17:00,133,1.0,55.4,0.9,0.015
25/02/2013,18:00,178,1.2,41.0,0.8,0.007
25/02/2013,19:00,93,0.1,94.4,0.5,0.007
25/02/2013,20:00,36,0.8,22.7,0.4,0.003
25/02/2013,21:00,42,1.8,19.0,1.1,0.002
25/02/2013,22:00,23,1.4,27.8,1.2,0.001
25/02/2013,23:00,43,0.8,24.6,0.3,0.001
26/02/2013,00:00,46,0.9,34.6,0.5,
26/02/2013,01:00,52,1.5,17.0,0.7,0.000
26/02/2013,02:00,36,1.2,17.3,0.5,0.001
26/02/2013,03:00,50,1.3,20.4,0.6,0.001
26/02/2013,04:00,65,1.2,30.1,0.7,0.001
26/02/2013,05:00,23,0.4,102.6,0.5,0.001
26/02/2013,06:00,348,0.7,23.1,0.3,0.001
26/02/2013,07:00,334,0.2,55.3,0.2,0.001
26/02/2013,08:00,308,0.5,44.5,0.3,0.000
26/02/2013,09:00,258,0.2,98.2,0.4,0.001
26/02/2013,10:00,248,0.6,61.2,0.7,0.001
26/02/2013,11:00,356,0.6,128.3,0.9,0.003
26/02/2013,12:00,204,0.7,80.3,0.8,0.029
26/02/2013,13:00,263,0.3,119.8,0.7,0.032
26/02/2013,14:00,117,0.7,81.0,1.0,0.041
26/02/2013,15:00,154,0.8,70.3,0.9,0.016
26/02/2013,16:00,190,0.7,63.4,0.7,0.006
26/02/2013,17:00,157,1.3,43.3,0.9,0.002
26/02/2013,18:00,141,0.8,40.6,0.6,0.001
26/02/2013,19:00,124,0.3,82.8,0.4,0.000
26/02/2013,20:00,13,0.7,152.7,0.7,0.001
26/02/2013,21:00,320,0.6,29.0,0.4,0.001
26/02/2013,22:00,277,0.4,47.3,0.3,0.004
26/02/2013,23:00,203,0.4,53.3,0.4,0.039
27/02/2013,00:00,139,0.4,55.6,0.4,
27/02/2013,01:00,218,0.2,91.9,0.3,0.026
27/02/2013,02:00,2,0.6,175.5,0.4,0.008
27/02/2013,03:00,44,0.5,64.1,0.4,0.003
27/02/2013,04:00,127,0.4,49.7,0.3,0.003
27/02/2013,05:00,109,0.5,65.9,0.3,0.019
27/02/2013,06:00,254,0.1,109.8,0.2,0.013
27/02/2013,07:00,9,0.2,179.6,0.2,0.023
27/02/2013,08:00,225,0.7,47.3,0.5,0.032
27/02/2013,09:00,226,1.7,22.4,1.0,0.018
27/02/2013,10:00,219,1.7,27.7,1.1,0.025
27/02/2013,11:00,240,0.9,51.6,0.7,0.007
27/02/2013,12:00,249,0.8,61.4,0.7,0.004
27/02/2013,13:00,151,0.3,111.8,0.9,0.363
27/02/2013,14:00,184,0.6,72.5,0.8,0.141
27/02/2013,15:00,250,1.0,49.5,0.8,0.117
27/02/2013,16:00,266,0.9,55.6,0.8,0.044
27/02/2013,17:00,212,1.5,30.4,0.9,0.069
27/02/2013,18:00,233,1.5,27.2,0.9,0.005
27/02/2013,19:00,264,1.0,21.4,0.4,0.007
27/02/2013,20:00,252,1.1,20.8,0.5,0.014
27/02/2013,21:00,203,0.6,66.0,0.7,0.033
27/02/2013,22:00,162,1.5,42.6,0.9,0.003
27/02/2013,23:00,167,1.9,14.2,0.8,0.001
28/02/2013,00:00,95,0.5,61.9,0.5,
28/02/2013,01:00,44,1.8,24.3,0.9,0.001
28/02/2013,02:00,42,0.6,81.1,0.7,0.001
28/02/2013,03:00,72,0.3,57.1,0.3,0.001
28/02/2013,04:00,35,0.8,30.1,0.4,0.001
28/02/2013,05:00,36,0.3,62.9,0.2,0.002
28/02/2013,06:00,85,0.6,66.5,0.5,0.001
28/02/2013,07:00,82,0.4,62.6,0.6,0.001
28/02/2013,08:00,40,1.5,32.6,0.8,0.001
28/02/2013,09:00,359,1.5,172.4,0.9,0.001
28/02/2013,10:00,357,1.4,159.5,0.9,0.001
28/02/2013,11:00,2,0.5,127.4,0.8,0.001
28/02/2013,12:00,331,0.8,62.5,0.7,0.001
28/02/2013,13:00,1,0.7,73.1,0.8,0.000
28/02/2013,14:00,251,0.8,60.4,0.7,0.062
28/02/2013,15:00,160,0.6,73.3,0.7,
28/02/2013,16:00,169,0.7,71.8,0.7,0.001
28/02/2013,17:00,227,2.3,16.4,1.0,0.001
28/02/2013,18:00,207,1.9,27.4,1.0,0.011
28/02/2013,19:00,188,1.5,20.4,0.7,0.015
28/02/2013,20:00,160,2.5,16.9,1.2,0.003
28/02/2013,21:00,172,1.3,19.5,0.7,0.001
28/02/2013,22:00,176,1.8,11.8,0.6,0.001
28/02/2013,23:00,166,1.9,12.3,0.7,0.001
01/03/2013,00:00,163,1.7,16.6,0.8,
01/03/2013,01:00,137,0.9,50.8,0.8,0.001
01/03/2013,02:00,139,1.4,34.0,1.0,0.000
01/03/2013,03:00,136,1.5,26.5,0.9,0.000
01/03/2013,04:00,137,1.7,18.4,0.9,0.000
01/03/2013,05:00,138,1.9,17.8,1.0,0.000
01/03/2013,06:00,143,2.1,13.2,0.9,0.000
01/03/2013,07:00,145,2.3,14.1,1.0,0.000
01/03/2013,08:00,140,2.3,21.9,1.3,0.001
01/03/2013,09:00,144,2.5,22.2,1.3,0.001
01/03/2013,10:00,137,1.8,36.6,1.2,0.001
01/03/2013,11:00,109,1.3,52.6,1.0,0.001
01/03/2013,12:00,152,1.4,48.7,1.1,0.001
01/03/2013,13:00,167,1.8,48.9,1.4,0.000
01/03/2013,14:00,161,2.1,41.8,1.5,0.000
01/03/2013,15:00,161,3.1,19.8,1.6,0.000
01/03/2013,16:00,166,3.3,26.9,1.8,0.001
01/03/2013,17:00,165,4.2,15.0,1.7,0.001
01/03/2013,18:00,168,4.1,15.0,1.5,0.000
01/03/2013,19:00,168,3.4,13.1,1.4,0.000
01/03/2013,20:00,163,3.2,12.2,1.3,0.000
01/03/2013,21:00,152,3.1,13.1,1.4,0.000
01/03/2013,22:00,151,3.2,12.2,1.4,0.000
01/03/2013,23:00,150,3.0,12.9,1.4,0.000
02/03/2013,00:00,149,2.4,16.3,1.1,
02/03/2013,01:00,145,2.6,16.8,1.4,0.000
02/03/2013,02:00,148,3.4,11.1,1.4,0.000
02/03/2013,03:00,150,2.3,11.3,1.1,0.000
02/03/2013,04:00,143,1.9,19.5,1.0,0.000
02/03/2013,05:00,142,2.0,22.3,1.3,0.000
02/03/2013,06:00,155,2.1,15.8,1.0,0.000
02/03/2013,07:00,157,1.5,23.0,0.9,0.001
02/03/2013,08:00,151,1.7,34.9,1.1,0.000
02/03/2013,09:00,144,1.4,45.0,1.1,0.001
02/03/2013,10:00,151,1.7,43.3,1.3,0.001
02/03/2013,11:00,158,2.0,35.0,1.3,0.000
02/03/2013,12:00,167,2.3,37.1,1.4,0.000
02/03/2013,13:00,164,2.7,30.3,1.6,0.000
02/03/2013,14:00,173,3.4,21.6,1.6,0.001
02/03/2013,15:00,171,3.5,27.0,1.8,0.001
02/03/2013,16:00,177,3.5,21.0,1.6,0.001
02/03/2013,17:00,170,3.5,19.6,1.6,0.002
02/03/2013,18:00,168,3.6,12.5,1.4,0.000
02/03/2013,19:00,157,2.5,13.8,1.2,0.000
02/03/2013,20:00,137,1.5,21.5,0.9,0.000
02/03/2013,21:00,134,1.5,21.2,0.9,0.000
02/03/2013,22:00,137,1.1,21.1,0.6,0.000
02/03/2013,23:00,169,1.5,13.1,0.7,0.001
03/03/2013,00:00,162,1.2,15.2,0.5,
03/03/2013,01:00,167,1.0,11.8,0.4,0.001
03/03/2013,02:00,166,1.2,12.0,0.4,0.000
03/03/2013,03:00,169,1.3,9.8,0.5,0.000
03/03/2013,04:00,161,1.5,12.2,0.7,0.000
03/03/2013,05:00,166,1.4,11.3,0.5,0.001
03/03/2013,06:00,169,1.7,8.8,0.5,0.000
03/03/2013,07:00,168,1.9,11.6,0.6,0.000
03/03/2013,08:00,137,1.4,34.9,0.9,0.000
03/03/2013,09:00,84,2.2,30.0,1.4,0.001
03/03/2013,10:00,88,1.3,53.4,0.9,0.001
03/03/2013,11:00,59,0.9,78.6,1.0,0.001
03/03/2013,12:00,209,1.0,58.2,0.9,0.003
03/03/2013,13:00,134,0.6,97.4,0.8,0.002
03/03/2013,14:00,145,0.8,79.3,1.1,0.001
03/03/2013,15:00,175,0.6,92.5,1.0,0.001
03/03/2013,16:00,138,1.0,75.0,1.3,0.000
03/03/2013,17:00,133,1.2,52.3,1.0,0.000
03/03/2013,18:00,164,1.7,28.5,1.0,0.000
03/03/2013,19:00,166,1.8,12.5,0.7,0.000
03/03/2013,20:00,150,1.8,13.5,0.9,0.000
03/03/2013,21:00,148,1.9,16.2,1.0,0.000
03/03/2013,22:00,144,1.2,17.4,0.7,0.000
03/03/2013,23:00,146,1.0,17.2,0.5,0.000
04/03/2013,00:00,170,1.2,14.2,0.5,
04/03/2013,01:00,154,1.0,14.8,0.5,0.000
04/03/2013,02:00,168,1.2,14.3,0.5,0.000
04/03/2013,03:00,156,0.7,18.6,0.4,0.000
04/03/2013,04:00,179,0.8,16.0,0.3,0.001
04/03/2013,05:00,194,0.6,31.1,0.3,0.001
04/03/2013,06:00,187,0.9,25.4,0.4,0.000
04/03/2013,07:00,167,1.3,13.5,0.5,0.000
04/03/2013,08:00,101,1.4,42.7,1.0,0.001
04/03/2013,09:00,75,2.3,28.6,1.3,0.001
04/03/2013,10:00,63,2.1,30.8,1.0,0.001
04/03/2013,11:00,57,0.9,92.2,1.2,0.000
04/03/2013,12:00,4,0.2,126.5,0.8,0.000
04/03/2013,13:00,198,1.0,69.0,1.2,0.002
04/03/2013,14:00,0,0.5,131.3,1.1,0.001
04/03/2013,15:00,167,0.9,79.1,1.1,0.003
04/03/2013,16:00,85,0.6,69.9,0.7,0.001
04/03/2013,17:00,210,0.4,117.4,0.6,0.001
04/03/2013,18:00,146,1.2,51.9,1.0,0.001
04/03/2013,19:00,167,1.2,16.4,0.6,0.000
04/03/2013,20:00,172,1.0,24.2,0.6,0.000
04/03/2013,21:00,170,1.7,9.2,0.5,0.000
04/03/2013,22:00,171,1.5,11.0,0.5,0.000
04/03/2013,23:00,166,1.5,9.9,0.6,0.000
05/03/2013,00:00,170,0.4,46.2,0.4,
05/03/2013,01:00,180,0.9,26.2,0.5,0.000
05/03/2013,02:00,164,1.4,10.7,0.6,0.000
05/03/2013,03:00,155,0.9,25.3,0.6,0.000
05/03/2013,04:00,80,0.6,38.3,0.4,0.000
05/03/2013,05:00,74,0.9,22.8,0.5,0.000
05/03/2013,06:00,73,0.7,29.4,0.4,0.001
05/03/2013,07:00,70,1.0,22.6,0.6,0.001
05/03/2013,08:00,77,1.5,31.0,1.0,0.001
05/03/2013,09:00,69,1.3,43.7,0.9,0.001
05/03/2013,10:00,61,1.6,36.2,0.9,0.001
05/03/2013,11:00,60,0.7,101.8,1.1,0.000
05/03/2013,12:00,223,0.5,88.2,0.8,0.001
05/03/2013,13:00,308,0.7,65.5,1.1,0.011
05/03/2013,14:00,121,0.1,101.0,0.8,0.008
05/03/2013,15:00,187,1.8,28.4,0.8,0.007
05/03/2013,16:00,247,0.2,88.3,0.5,0.005
05/03/2013,17:00,345,0.8,45.6,0.7,0.003
05/03/2013,18:00,332,0.8,18.4,0.4,0.002
05/03/2013,19:00,305,0.6,30.7,0.3,0.002
05/03/2013,20:00,16,0.3,146.5,0.2,0.001
05/03/2013,21:00,137,0.1,94.2,0.3,0.001
05/03/2013,22:00,346,1.0,175.6,1.2,0.001
05/03/2013,23:00,334,1.6,19.9,0.8,0.001
06/03/2013,00:00,0,1.9,170.9,0.9,
06/03/2013,01:00,334,1.2,16.2,0.7,0.000
06/03/2013,02:00,336,1.1,16.8,0.6,0.000
06/03/2013,03:00,339,0.9,21.4,0.4,0.000
06/03/2013,04:00,355,0.7,34.7,0.4,0.001
06/03/2013,05:00,2,1.0,172.4,0.3,0.000
06/03/2013,06:00,1,1.0,171.0,0.4,0.000
06/03/2013,07:00,0,0.8,35.9,0.5,0.000
06/03/2013,08:00,359,1.2,27.1,0.7,0.001
06/03/2013,09:00,21,1.8,33.5,0.9,0.001
06/03/2013,10:00,20,1.9,49.9,1.3,0.001
06/03/2013,11:00,23,2.6,33.0,1.5,0.001
06/03/2013,12:00,342,1.5,54.2,1.2,0.000
06/03/2013,13:00,347,0.9,75.0,1.0,0.000
06/03/2013,14:00,209,0.6,109.7,1.4,0.001
06/03/2013,15:00,45,1.8,43.4,1.2,0.000
06/03/2013,16:00,32,3.3,22.6,1.2,0.000
06/03/2013,17:00,56,2.0,24.6,1.0,0.000
06/03/2013,18:00,58,3.6,36.9,2.3,0.000
06/03/2013,19:00,33,3.6,19.6,2.2,0.000
06/03/2013,20:00,22,2.6,22.6,1.2,0.000
06/03/2013,21:00,24,1.8,20.2,0.9,0.000
06/03/2013,22:00,54,0.9,61.6,0.9,0.000
06/03/2013,23:00,94,0.6,75.0,0.7,0.000
07/03/2013,00:00,9,0.3,179.3,0.3,
07/03/2013,01:00,34,1.5,23.8,0.6,0.000
07/03/2013,02:00,7,1.2,174.2,0.6,0.000
07/03/2013,03:00,343,1.1,14.9,0.4,0.001
07/03/2013,04:00,345,1.2,18.5,0.4,0.000
07/03/2013,05:00,341,1.4,18.9,0.5,0.000
07/03/2013,06:00,339,1.5,16.1,0.7,0.000
07/03/2013,07:00,345,1.3,34.8,0.7,0.000
07/03/2013,08:00,339,1.1,51.3,0.8,0.000
07/03/2013,09:00,335,1.7,40.1,1.0,0.000
07/03/2013,10:00,0,1.9,174.2,1.1,0.001
07/03/2013,11:00,12,2.6,177.6,1.5,0.000
07/03/2013,12:00,12,2.9,31.9,1.6,0.000
07/03/2013,13:00,11,3.5,23.0,1.5,0.000
07/03/2013,14:00,48,2.7,60.0,2.3,0.000
07/03/2013,15:00,157,4.7,38.7,3.7,0.000
07/03/2013,16:00,342,1.0,43.1,0.8,0.005
07/03/2013,17:00,1,1.3,40.3,0.9,0.001
07/03/2013,18:00,199,0.8,80.0,1.3,0.002
07/03/2013,19:00,69,1.4,57.8,1.2,0.001
07/03/2013,20:00,354,0.6,166.8,0.5,0.001
07/03/2013,21:00,3,0.8,31.8,0.5,0.001
07/03/2013,22:00,21,1.6,22.0,0.9,0.000
07/03/2013,23:00,359,0.9,167.6,0.5,0.001
08/03/2013,00:00,19,1.0,166.6,1.3,
08/03/2013,01:00,100,0.1,114.6,0.3,0.001
08/03/2013,02:00,100,0.3,69.8,0.3,0.001
08/03/2013,03:00,132,0.2,80.9,0.2,0.000
08/03/2013,04:00,26,0.4,47.8,0.3,0.000
08/03/2013,05:00,60,0.6,38.2,0.3,0.001
08/03/2013,06:00,41,0.5,27.4,0.3,0.001
08/03/2013,07:00,56,0.2,84.5,0.3,0.002
08/03/2013,08:00,125,0.6,74.4,0.5,0.000
08/03/2013,09:00,84,1.0,50.4,0.6,0.001
08/03/2013,10:00,43,2.3,26.1,0.9,0.001
08/03/2013,11:00,22,2.7,23.6,1.2,0.001
08/03/2013,12:00,34,2.1,37.3,1.2,0.000
08/03/2013,13:00,17,1.6,176.4,1.2,0.000
08/03/2013,14:00,346,1.2,45.9,1.0,0.000
08/03/2013,15:00,358,0.2,109.3,0.7,0.000
08/03/2013,16:00,349,0.4,156.2,0.7,0.000
08/03/2013,17:00,95,0.7,86.7,1.3,0.000
08/03/2013,18:00,87,2.1,28.5,1.4,0.000
08/03/2013,19:00,82,0.5,86.7,0.6,0.000
08/03/2013,20:00,74,1.2,29.0,0.9,0.000
08/03/2013,21:00,63,2.2,18.6,1.0,0.000
08/03/2013,22:00,55,1.5,20.3,0.7,0.000
08/03/2013,23:00,67,0.9,32.9,0.5,0.000
09/03/2013,00:00,52,0.9,37.8,0.6,
09/03/2013,01:00,59,0.9,29.5,0.4,0.001
09/03/2013,02:00,83,0.8,24.1,0.4,0.001
09/03/2013,03:00,68,1.3,18.4,0.5,0.001
09/03/2013,04:00,41,1.3,16.0,0.5,0.000
09/03/2013,05:00,40,1.5,18.8,0.7,0.001
09/03/2013,06:00,52,1.3,26.0,0.7,0.001
09/03/2013,07:00,30,0.6,164.2,0.5,0.000
09/03/2013,08:00,46,1.6,18.3,0.6,0.000
09/03/2013,09:00,31,3.6,18.5,1.6,0.000
09/03/2013,10:00,30,3.8,20.2,1.5,0.000
09/03/2013,11:00,24,3.3,22.6,1.4,0.000
09/03/2013,12:00,17,2.7,27.7,1.3,0.000
09/03/2013,13:00,354,1.7,34.1,1.3,0.000
09/03/2013,14:00,350,1.0,61.8,1.0,0.000
09/03/2013,15:00,2,1.7,177.4,1.3,0.000
09/03/2013,16:00,144,0.7,108.5,1.0,0.000
09/03/2013,17:00,186,1.5,31.3,0.8,0.000
09/03/2013,18:00,104,0.4,82.0,0.6,0.000
09/03/2013,19:00,34,0.9,30.1,0.5,0.000
09/03/2013,20:00,38,1.8,17.5,0.8,0.000
09/03/2013,21:00,40,1.2,17.5,0.7,0.000
09/03/2013,22:00,39,1.2,16.8,0.5,0.000
09/03/2013,23:00,344,0.5,24.2,0.2,0.000
10/03/2013,00:00,54,0.3,102.5,0.6,
10/03/2013,01:00,46,1.7,16.7,0.7,0.000
10/03/2013,02:00,79,0.6,48.4,0.5,0.000
10/03/2013,03:00,,0.0,121.8,0.1,0.001
10/03/2013,04:00,62,0.4,53.7,0.4,0.000
10/03/2013,05:00,165,0.2,61.6,0.2,0.000
10/03/2013,06:00,11,0.3,154.4,0.2,0.000
10/03/2013,07:00,74,0.5,56.8,0.6,0.000
10/03/2013,08:00,68,2.6,20.3,1.1,0.000
10/03/2013,09:00,57,2.7,24.2,1.3,0.001
10/03/2013,10:00,48,2.6,25.1,1.1,0.000
10/03/2013,11:00,70,1.5,37.6,1.0,0.000
10/03/2013,12:00,46,1.5,48.5,1.0,0.000
10/03/2013,13:00,67,0.3,119.0,0.8,0.000
10/03/2013,14:00,164,1.0,64.8,1.0,0.003
10/03/2013,15:00,98,0.5,96.0,0.9,0.000
10/03/2013,16:00,99,0.8,94.5,1.2,0.000
10/03/2013,17:00,94,1.0,49.4,0.9,0.000
10/03/2013,18:00,100,1.2,38.9,0.9,0.000
10/03/2013,19:00,97,0.8,40.0,0.7,0.000
10/03/2013,20:00,92,0.8,44.5,0.7,0.000
10/03/2013,21:00,82,0.9,35.5,0.6,0.000
10/03/2013,22:00,68,0.6,34.2,0.3,0.000
10/03/2013,23:00,98,0.8,50.9,0.8,0.000
11/03/2013,00:00,90,1.4,41.5,1.2,
11/03/2013,01:00,90,0.8,47.2,0.6,0.000
11/03/2013,02:00,80,0.8,36.0,0.5,0.000
11/03/2013,03:00,78,0.6,36.8,0.3,0.001
11/03/2013,04:00,73,0.5,51.9,0.5,0.000
11/03/2013,05:00,64,1.3,25.9,0.7,0.000
11/03/2013,06:00,78,1.0,37.4,0.7,0.001
11/03/2013,07:00,71,1.7,24.2,1.0,0.000
11/03/2013,08:00,54,2.4,24.7,1.2,0.000
11/03/2013,09:00,51,3.7,19.1,1.4,0.001
11/03/2013,10:00,47,3.8,21.4,1.5,0.000
11/03/2013,11:00,35,3.5,24.0,1.5,0.000
11/03/2013,12:00,32,2.8,27.8,1.5,0.000
11/03/2013,13:00,61,1.9,41.5,1.3,0.000
11/03/2013,14:00,51,1.7,54.4,1.6,0.000
11/03/2013,15:00,73,1.4,61.1,1.3,0.000
11/03/2013,16:00,84,1.2,64.0,1.2,0.000
11/03/2013,17:00,86,1.0,59.8,0.9,0.000
11/03/2013,18:00,74,1.2,43.2,0.9,0.000
11/03/2013,19:00,76,0.9,30.7,0.6,0.000
11/03/2013,20:00,81,0.8,40.5,0.5,0.000
11/03/2013,21:00,77,0.5,32.0,0.3,0.000
11/03/2013,22:00,87,0.7,44.1,0.4,0.000
11/03/2013,23:00,73,1.0,38.9,0.6,0.000
12/03/2013,00:00,84,0.9,32.6,0.7,
12/03/2013,01:00,84,1.4,29.3,0.9,0.000
12/03/2013,02:00,70,1.7,21.3,0.9,0.000
12/03/2013,03:00,67,1.6,19.7,0.7,0.000
12/03/2013,04:00,74,1.3,36.1,0.8,0.001
12/03/2013,05:00,75,1.5,31.3,0.9,0.000
12/03/2013,06:00,80,1.2,30.7,0.7,0.001
12/03/2013,07:00,67,2.2,18.3,1.1,0.000
12/03/2013,08:00,50,2.9,19.2,1.3,0.000
12/03/2013,09:00,49,3.0,22.4,1.3,0.000
12/03/2013,10:00,49,2.4,29.5,1.3,0.000
12/03/2013,11:00,32,2.3,38.9,1.4,0.000
12/03/2013,12:00,46,1.5,61.4,1.2,0.000
12/03/2013,13:00,45,1.6,55.5,1.2,0.000
12/03/2013,14:00,25,1.4,58.8,1.2,0.000
12/03/2013,15:00,85,1.3,67.4,1.2,0.000
12/03/2013,16:00,89,1.1,61.2,1.0,0.000
12/03/2013,17:00,82,1.7,39.7,1.2,0.000
12/03/2013,18:00,76,1.5,37.7,0.9,0.000
12/03/2013,19:00,71,1.2,19.6,0.7,0.000
12/03/2013,20:00,63,1.2,18.7,0.6,0.000
12/03/2013,21:00,78,0.6,35.2,0.4,0.000
12/03/2013,22:00,73,0.8,27.1,0.4,0.000
12/03/2013,23:00,105,0.8,46.0,0.6,0.000
13/03/2013,00:00,88,1.3,37.9,1.0,
13/03/2013,01:00,93,0.8,43.0,0.6,0.000
13/03/2013,02:00,135,0.6,32.1,0.4,0.001
13/03/2013,03:00,70,0.5,34.7,0.3,0.001
13/03/2013,04:00,110,0.3,48.6,0.2,0.000
13/03/2013,05:00,74,0.5,47.5,0.4,0.000
13/03/2013,06:00,50,0.3,58.0,0.2,0.000
13/03/2013,07:00,67,1.5,20.9,0.7,0.000
13/03/2013,08:00,56,2.2,25.1,1.0,0.000
13/03/2013,09:00,51,1.4,47.8,0.9,0.001
13/03/2013,10:00,51,1.4,58.0,1.1,0.001
13/03/2013,11:00,120,1.0,84.9,1.3,0.000
13/03/2013,12:00,137,1.4,62.9,1.4,0.000
13/03/2013,13:00,122,1.7,47.0,1.4,0.000
13/03/2013,14:00,127,1.3,48.9,1.1,0.000
13/03/2013,15:00,131,1.9,44.4,1.5,0.000
13/03/2013,16:00,129,1.5,45.7,1.2,0.000
13/03/2013,17:00,109,1.3,49.4,1.1,0.000
13/03/2013,18:00,117,1.3,34.1,0.9,0.000
13/03/2013,19:00,99,1.1,35.5,0.8,0.000
