Date,Time,Wind Direction,Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Relative Humidity (%RH),Rainfall (mm),Barometric Pressure (hPa),Nitric Oxide (NO) (ppm),Nitrogen Dioxide (NO2) (ppm),Total Oxides of Nitrogen (NOx) (ppm),Sulfur Dioxide (SO2) (ppm),PM10 (µg/m^3),PM2.5 (µg/m^3),Visibility-reducing particles (Mm^-1)
05/01/2010,18:00,140,2.4,45.7,1.0,27.2,72.8,0.0,1009,0.000,0.000,0.000,0.000,6.1,0.0,6
05/01/2010,19:00,186,3.5,10.8,1.1,27.0,73.3,0.0,1009,0.000,0.000,0.000,0.000,12.9,2.9,9
05/01/2010,20:00,178,1.9,36.7,1.5,26.3,77.6,0.0,1010,0.008,0.005,0.013,0.002,11.7,1.9,11
05/01/2010,21:00,141,0.8,35.7,0.5,25.4,83.4,0.0,1010,0.007,0.007,0.014,0.003,13.8,6.0,12
05/01/2010,22:00,159,1.8,27.4,1.0,25.1,82.8,0.0,1010,0.006,0.006,0.012,0.004,7.7,0.0,10
05/01/2010,23:00,158,1.5,30.4,1.1,24.5,83.4,0.4,1010,0.027,0.011,0.038,0.011,7.8,1.7,9
06/01/2010,00:00,141,1.2,38.3,1.0,23.7,88.4,0.5,1009,,,,,6.0,-1.1,
06/01/2010,01:00,177,1.2,38.0,0.7,23.7,89.4,1.4,1009,0.002,0.004,0.006,0.002,3.5,-2.2,8
06/01/2010,02:00,179,1.4,37.7,0.9,23.5,89.6,2.0,1008,0.000,0.000,0.000,0.000,,,5
06/01/2010,03:00,125,0.9,43.9,0.7,23.2,90.1,0.4,1008,0.000,0.000,0.000,0.000,6.3,-0.1,4
06/01/2010,04:00,152,0.7,43.0,0.5,23.2,90.2,0.0,1008,0.000,0.000,0.000,0.000,,,7
06/01/2010,05:00,145,0.7,39.3,0.5,23.3,89.0,0.0,1008,0.000,0.001,0.001,0.000,5.7,-2.5,8
06/01/2010,06:00,136,0.6,42.3,0.5,23.5,86.7,0.0,1009,0.000,0.001,0.001,0.000,5.4,-2.6,8
06/01/2010,07:00,131,0.9,33.3,0.6,24.2,84.9,0.0,1009,0.005,0.003,0.008,0.001,5.1,-3.3,11
06/01/2010,08:00,170,1.1,42.6,0.8,25.3,80.4,0.0,1009,0.001,0.001,0.002,0.001,12.2,1.5,11
06/01/2010,09:00,120,2.1,23.4,1.1,26.6,74.6,0.0,1009,0.019,0.007,0.026,0.007,15.4,3.5,13
06/01/2010,10:00,104,3.0,19.8,1.1,27.3,70.2,0.0,1009,0.023,0.009,0.032,0.012,10.2,-0.8,13
06/01/2010,11:00,91,3.7,15.7,1.0,27.9,67.1,0.0,1009,0.005,0.004,0.009,0.003,12.3,2.0,12
06/01/2010,12:00,93,3.8,13.8,1.1,28.3,64.8,0.0,1008,0.001,0.000,0.001,0.001,11.6,3.0,11
06/01/2010,13:00,92,4.2,15.8,1.1,28.3,64.5,0.0,1007,0.000,0.000,0.000,0.000,4.5,-2.9,10
06/01/2010,14:00,142,2.8,46.3,1.1,28.3,64.6,0.0,1007,0.000,0.000,0.000,0.000,12.5,3.0,9
06/01/2010,15:00,98,3.7,12.3,1.0,27.9,67.9,0.0,1007,0.000,0.000,0.000,0.000,14.0,4.4,9
06/01/2010,16:00,186,3.6,11.7,0.9,27.6,71.0,0.0,1007,0.000,0.000,0.000,0.000,8.7,1.7,8
06/01/2010,17:00,172,2.1,20.8,1.0,26.9,73.5,0.0,1007,0.017,0.009,0.026,0.008,11.9,3.8,8
06/01/2010,18:00,165,1.4,18.9,0.6,26.5,74.8,0.0,1007,0.016,0.011,0.027,0.010,13.2,5.6,8
06/01/2010,19:00,183,2.7,13.0,1.0,26.7,74.4,0.0,1008,0.000,0.002,0.002,0.002,8.5,-1.0,8
06/01/2010,20:00,173,1.8,13.4,0.7,26.6,73.2,0.0,1008,0.001,0.001,0.001,0.001,6.4,-3.8,8
06/01/2010,21:00,148,1.0,33.1,0.7,26.0,77.0,0.0,1008,0.005,0.006,0.010,0.002,7.8,-3.4,8
06/01/2010,22:00,146,0.8,35.6,0.5,25.4,80.5,0.0,1008,0.009,0.006,0.015,0.004,8.1,-1.3,9
06/01/2010,23:00,143,0.9,39.4,0.7,24.8,84.3,0.6,1007,0.013,0.007,0.019,0.005,11.7,1.1,9
